"","pop","individual","value","cluster","cluster_size"
"569",1,24,1,"Cluster 1",4
"570",1,24,1,"Cluster 10",1
"571",1,24,1,"Cluster 11",24
"572",1,24,1,"Cluster 12",1
"573",1,24,1,"Cluster 13",34
"574",1,24,1,"Cluster 14",1
"575",1,24,1,"Cluster 15",12
"576",1,24,1,"Cluster 16",1
"577",1,24,1,"Cluster 17",29
"578",1,24,1,"Cluster 2",64
"579",1,24,1,"Cluster 3",7
"580",1,24,1,"Cluster 4",29
"581",1,24,1,"Cluster 5",1
"582",1,24,1,"Cluster 6",4
"583",1,24,1,"Cluster 7",15
"584",1,24,1,"Cluster 8",25
"585",1,24,1,"Cluster 9",4
"586",1,24,2,"Cluster 1",5
"587",1,24,2,"Cluster 10",36
"588",1,24,2,"Cluster 11",12
"589",1,24,2,"Cluster 12",8
"590",1,24,2,"Cluster 13",1
"591",1,24,2,"Cluster 2",30
"592",1,24,2,"Cluster 3",7
"593",1,24,2,"Cluster 4",5
"594",1,24,2,"Cluster 5",76
"595",1,24,2,"Cluster 6",44
"596",1,24,2,"Cluster 7",9
"597",1,24,2,"Cluster 8",81
"598",1,24,2,"Cluster 9",32
"599",1,25,1,"Cluster 1",1
"600",1,25,1,"Cluster 10",1
"601",1,25,1,"Cluster 11",13
"602",1,25,1,"Cluster 12",4
"603",1,25,1,"Cluster 13",35
"604",1,25,1,"Cluster 14",12
"605",1,25,1,"Cluster 2",6
"606",1,25,1,"Cluster 3",37
"607",1,25,1,"Cluster 4",4
"608",1,25,1,"Cluster 5",6
"609",1,25,1,"Cluster 6",5
"610",1,25,1,"Cluster 7",41
"611",1,25,1,"Cluster 8",1
"612",1,25,1,"Cluster 9",28
"613",1,25,2,"Cluster 1",35
"614",1,25,2,"Cluster 2",2
"615",1,25,2,"Cluster 3",104
"616",1,25,2,"Cluster 4",81
"617",1,25,2,"Cluster 5",29
"618",1,25,2,"Cluster 6",6
"619",1,25,2,"Cluster 7",73
"620",1,25,2,"Cluster 8",49
"621",1,25,2,"Cluster 9",48
"622",1,27,1,"Cluster 1",2
"623",1,27,1,"Cluster 10",11
"624",1,27,1,"Cluster 11",3
"625",1,27,1,"Cluster 12",64
"626",1,27,1,"Cluster 13",21
"627",1,27,1,"Cluster 14",3
"628",1,27,1,"Cluster 15",3
"629",1,27,1,"Cluster 2",24
"630",1,27,1,"Cluster 3",15
"631",1,27,1,"Cluster 4",26
"632",1,27,1,"Cluster 5",10
"633",1,27,1,"Cluster 6",1
"634",1,27,1,"Cluster 7",49
"635",1,27,1,"Cluster 8",74
"636",1,27,1,"Cluster 9",17
"637",1,27,2,"Cluster 1",23
"638",1,27,2,"Cluster 10",47
"639",1,27,2,"Cluster 11",44
"640",1,27,2,"Cluster 12",30
"641",1,27,2,"Cluster 2",3
"642",1,27,2,"Cluster 3",16
"643",1,27,2,"Cluster 4",8
"644",1,27,2,"Cluster 5",23
"645",1,27,2,"Cluster 6",42
"646",1,27,2,"Cluster 7",2
"647",1,27,2,"Cluster 8",9
"648",1,27,2,"Cluster 9",12
"649",1,28,1,"Cluster 1",38
"650",1,28,1,"Cluster 10",33
"651",1,28,1,"Cluster 11",11
"652",1,28,1,"Cluster 12",48
"653",1,28,1,"Cluster 13",3
"654",1,28,1,"Cluster 2",13
"655",1,28,1,"Cluster 3",11
"656",1,28,1,"Cluster 4",1
"657",1,28,1,"Cluster 5",44
"658",1,28,1,"Cluster 6",23
"659",1,28,1,"Cluster 7",3
"660",1,28,1,"Cluster 8",3
"661",1,28,1,"Cluster 9",13
"662",1,28,2,"Cluster 1",3
"663",1,28,2,"Cluster 10",11
"664",1,28,2,"Cluster 11",60
"665",1,28,2,"Cluster 12",7
"666",1,28,2,"Cluster 13",24
"667",1,28,2,"Cluster 14",1
"668",1,28,2,"Cluster 2",46
"669",1,28,2,"Cluster 3",7
"670",1,28,2,"Cluster 4",30
"671",1,28,2,"Cluster 5",78
"672",1,28,2,"Cluster 6",4
"673",1,28,2,"Cluster 7",95
"674",1,28,2,"Cluster 8",5
"675",1,28,2,"Cluster 9",9
"676",1,29,1,"Cluster 1",14
"677",1,29,1,"Cluster 10",15
"678",1,29,1,"Cluster 11",44
"679",1,29,1,"Cluster 2",7
"680",1,29,1,"Cluster 3",11
"681",1,29,1,"Cluster 4",10
"682",1,29,1,"Cluster 5",58
"683",1,29,1,"Cluster 6",20
"684",1,29,1,"Cluster 7",10
"685",1,29,1,"Cluster 8",5
"686",1,29,1,"Cluster 9",7
"687",1,29,2,"Cluster 1",2
"688",1,29,2,"Cluster 10",63
"689",1,29,2,"Cluster 11",30
"690",1,29,2,"Cluster 12",24
"691",1,29,2,"Cluster 13",4
"692",1,29,2,"Cluster 2",66
"693",1,29,2,"Cluster 3",78
"694",1,29,2,"Cluster 4",6
"695",1,29,2,"Cluster 5",21
"696",1,29,2,"Cluster 6",27
"697",1,29,2,"Cluster 7",17
"698",1,29,2,"Cluster 8",9
"699",1,29,2,"Cluster 9",67
"700",1,30,1,"Cluster 1",40
"701",1,30,1,"Cluster 10",66
"702",1,30,1,"Cluster 2",133
"703",1,30,1,"Cluster 3",1
"704",1,30,1,"Cluster 4",16
"705",1,30,1,"Cluster 5",13
"706",1,30,1,"Cluster 6",1
"707",1,30,1,"Cluster 7",36
"708",1,30,1,"Cluster 8",25
"709",1,30,1,"Cluster 9",3
"710",1,30,2,"Cluster 1",9
"711",1,30,2,"Cluster 10",2
"712",1,30,2,"Cluster 11",49
"713",1,30,2,"Cluster 2",7
"714",1,30,2,"Cluster 3",27
"715",1,30,2,"Cluster 4",14
"716",1,30,2,"Cluster 5",57
"717",1,30,2,"Cluster 6",37
"718",1,30,2,"Cluster 7",16
"719",1,30,2,"Cluster 8",6
"720",1,30,2,"Cluster 9",69
"721",1,31,1,"Cluster 1",154
"722",1,31,1,"Cluster 2",35
"723",1,31,1,"Cluster 3",28
"724",1,31,1,"Cluster 4",24
"725",1,31,1,"Cluster 5",6
"726",1,31,1,"Cluster 6",88
"727",1,31,1,"Cluster 7",47
"728",1,31,2,"Cluster 1",49
"729",1,31,2,"Cluster 10",2
"730",1,31,2,"Cluster 11",15
"731",1,31,2,"Cluster 2",48
