p1_mean_weights,p1_sd_weights,p2_mean_weights,p2_sd_weights,mean_bias,sd_bias,data_type
0.49229866,0.08219559,0.4674567,0.16007854,2.2082326,6.755369,test_pred
0.46052814,0.29589567,0.49083403,0.26886952,2.3545315,4.119474,test_pred
0.4648215,0.07695444,0.46530938,0.114390984,3.4865363,7.496031,test_pred
0.47965696,0.07840423,0.47006753,-0.059239835,2.1504908,9.20628,test_pred
0.46984646,0.5275947,0.46426746,0.3417562,2.2680151,2.0281105,test_pred
0.46376318,0.390276,0.4838907,0.40133592,1.1523588,2.8437176,test_pred
0.46647775,0.26474655,0.5059086,0.362648,1.3239826,3.8301296,test_pred
0.48315498,-0.032711476,0.46124548,0.008778423,2.2205875,9.443028,test_pred
0.44644487,0.30423743,0.49579433,0.39752164,1.9089758,3.1929193,test_pred
0.50183505,0.30305243,0.4527559,0.20311362,1.5751219,5.9927845,test_pred
0.4608491,0.35314935,0.48194927,0.07385425,3.1214046,6.1319304,test_pred
0.4586016,0.22160533,0.4903304,0.2213522,3.0081615,5.161575,test_pred
0.4694401,0.34920287,0.4679752,0.43738973,0.8146442,2.914702,test_pred
0.49443525,0.2903156,0.45508543,0.197413,1.3783712,4.693432,test_pred
0.43268645,0.3025757,0.4959835,0.25597262,3.5979462,5.0960655,test_pred
0.4448979,0.42074198,0.5178553,0.3275828,3.9864616,2.6653388,test_pred
0.4263046,0.45267692,0.5164725,0.3809908,2.7944772,2.4323566,test_pred
0.49753958,0.2861954,0.45985588,0.3737465,2.1021595,3.8958082,test_pred
0.5036514,0.10279238,0.4725584,0.068933785,0.54758626,8.625702,test_pred
0.51436293,0.3103997,0.45427278,0.34365705,2.091698,3.608937,test_pred
0.42883494,0.18634807,0.5100245,0.015611351,2.3608756,7.4684944,test_pred
0.42270714,0.31234205,0.5036178,0.54095596,2.1039639,2.5883641,test_pred
0.49482527,-0.13476141,0.46366993,0.03043744,1.8556862,10.072567,test_pred
0.4431221,0.21132016,0.5252558,0.19473076,2.8080566,5.446732,test_pred
0.44350898,0.27346328,0.49807763,0.1912274,0.8517259,4.596777,test_pred
0.51390946,0.3178416,0.45413575,0.25754052,2.3266215,4.000095,test_pred
0.48423165,0.32720897,0.47406512,0.3362131,1.155257,3.5850272,test_pred
0.45796493,0.2387422,0.4793067,0.39995176,2.190431,3.6431537,test_pred
0.41382742,0.31816703,0.51163715,0.41891018,2.392011,3.0365489,test_pred
0.48152503,0.4943828,0.481277,0.34086916,2.6948647,2.3139942,test_pred
0.48982728,0.2930678,0.48161405,0.18888205,1.5791752,5.312356,test_pred
0.51954675,0.18820067,0.45999777,0.39828828,1.025031,4.5190835,test_pred
0.48428634,0.20066647,0.46918684,0.12176888,2.117194,6.903779,test_pred
0.4579475,0.35564426,0.4988447,0.21232376,1.439795,3.9971242,test_pred
0.5046585,0.3569146,0.46715266,0.5670891,1.3110442,1.3918266,test_pred
0.4976621,0.44988024,0.48015684,0.5265474,1.2237797,2.005724,test_pred
0.47580293,0.41335544,0.5049593,0.33893,1.5664554,2.8232975,test_pred
0.47336915,0.3968979,0.47973326,0.51998866,2.4250007,1.386952,test_pred
0.50628436,0.28740853,0.44819316,0.23983604,1.5359802,4.9681773,test_pred
0.4588196,0.54039586,0.4919032,0.51293486,3.2807767,0.26391247,test_pred
0.45334333,0.4033937,0.504304,0.2091037,2.7847757,3.8468425,test_pred
0.46421692,0.065734,0.48896924,0.23547906,1.427232,6.7517533,test_pred
0.47487822,0.2914752,0.46508282,0.30012885,2.4381704,4.1780143,test_pred
0.48061326,0.19582446,0.4970126,0.24344766,0.860765,5.502039,test_pred
0.45640665,0.19019121,0.5077179,0.16624215,2.7041368,6.117611,test_pred
0.49679127,0.37844115,0.43041113,0.3010887,3.688579,3.7022038,test_pred
0.4885603,0.26328868,0.48477066,0.44531077,0.8452915,3.3384285,test_pred
0.44433403,0.26813972,0.51130366,0.17736942,3.0456853,5.454793,test_pred
0.42236495,0.31593022,0.54060477,0.2709184,1.5811961,3.5601017,test_pred
0.45149744,0.335804,0.5088287,0.38770443,2.0340881,3.2589726,test_pred
0.46225807,0.3282098,0.47570142,0.3400205,3.2591782,3.1918712,test_pred
0.4418171,0.28824225,0.49387577,0.33985955,2.3982713,3.6752725,test_pred
0.4679344,0.29043654,0.4658296,0.33645502,3.3844597,3.540031,test_pred
0.46884575,0.08444152,0.4705004,0.25778916,2.2484539,6.150628,test_pred
0.44568488,0.30675444,0.5050792,0.28142458,1.8575091,4.271312,test_pred
0.48711172,0.18349558,0.4625692,0.2925682,1.9945676,5.3952327,test_pred
0.50342417,0.34854415,0.4625105,0.4676085,1.703052,2.279703,test_pred
0.48554072,0.24885237,0.44223794,0.33974797,2.4526107,4.053758,test_pred
0.44318426,-0.06128913,0.49637663,0.3644113,2.065886,6.842882,test_pred
0.47781414,0.2712833,0.4756326,0.54073423,2.5024276,2.5634198,test_pred
0.46009165,0.25662008,0.4805883,0.4564091,2.1126876,3.1913905,test_pred
0.4521133,0.16390401,0.49796292,0.025492072,2.4842,7.15201,test_pred
0.47561988,0.37508258,0.48144346,0.31178728,2.6166344,3.416564,test_pred
0.46925512,0.10218826,0.48115763,0.23661645,3.0631835,6.351272,test_pred
0.4974801,0.32623422,0.44178158,0.35439563,2.056052,3.3764405,test_pred
0.4458387,0.37028188,0.51743156,0.5586866,1.3177453,2.146041,test_pred
0.47520056,0.4175653,0.45709538,0.000928849,4.4145565,5.6260104,test_pred
