"pop","individual","val_mean_oil","val_mean_protein","val_mean_silk","val_mean_starch","val_mean_tassel","val_sd_oil","val_sd_protein","val_sd_silk","val_sd_starch","val_sd_tassel"
1,82,3.39,13.602,75.8333333333333,68.75,74.1666666666667,0.458093876841854,1.05079493717852,10.0681014430064,1.64878743323692,9.88770280028009
1,83,3.785,13.9066666666667,81,67.425,79.5,0.597887949368441,1.87160537151042,9.81835016690686,4.67613408704242,9.79285453787607
1,85,3.2775,13.5775,79.5,69.78,78.8333333333333,0.27584717991429,0.606320872146094,13.8527975513973,1.56369221182857,13.7027977678526
1,86,3.35,13.768,75.8333333333333,66.32,74.5,0.531554324599095,0.968978843938298,11.7203526681865,1.4358272876638,11.4498908291739
1,87,4.525,13.2483333333333,77.1666666666667,69.1616666666667,75.3333333333333,0.443249365481779,2.07585564687593,11.4090607267499,1.82602756459662,9.58471004604034
1,88,4.562,11.864,79.4285714285714,70.392,76,0.581007745215156,1.66393509488802,13.5383054436556,1.63487614209762,10.6614570611463
1,89,3.82333333333333,13.175,76,67.89,73.8333333333333,0.334883064168176,0.871269189171751,7.26636084983398,1.10825989731651,7.57407860182786
1,91,4.138,13.536,80.6,68.36,79.6,0.387969070932207,2.58082932407395,11.1937482551646,3.40027940028463,11.3929802949009
1,93,3.6025,13.84,74.8333333333333,69.6,73,0.445823208607777,1.64780662295873,8.35264429187947,1.5334275333383,8.12403840463596
1,94,4.0625,13.055,76.1666666666667,67.17,75.1666666666667,0.450138867462031,0.52035244466291,9.55859124906315,1.86924227072541,8.90879715038269
1,96,3.28,13.908,75.5,70.264,75.5,0.299499582637439,1.32322333715817,7.79102047231298,1.2775092954652,7.06399320497974
1,98,4.04,14.315,74.1666666666667,67.185,72,0.496655480858378,1.94704048922118,8.44787941833136,2.01730017597779,8.34266144584568
1,100,4.855,14.4,74.8333333333333,67.4975,73.6666666666667,0.588245980295092,1.47234506824997,9.88770280028009,2.86027242292292,8.80151502110101
1,101,3.73,13.52,75.6,67.8175,74.6,0.371304008417182,1.87387299462904,6.94982014155762,3.37838595584736,6.87749954561976
1,102,4.4125,12.8775,81.6,66.1875,79,0.536493243200695,0.749105021564623,13.1643457870112,2.05667004321711,12.5499003980111
1,103,4.38,12.4475,74.2857142857143,70.7075,72.2857142857143,0.60778285596091,1.52053444551579,10.4197614450346,0.902787350376599,9.35796070580704
1,104,4.68166666666667,13.28,73.5,67.9433333333333,71.5,0.503881599849277,1.16206712370672,9.00555384193554,2.16508352417792,8.26438140455775
